time,wind_speed,wind_angle,battery_voltage,battery_current,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,velocity_x,velocity_y,velocity_z,angular_x,angular_y,angular_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z
12.6,2,101,22.62831306,23.09990311,-79.78282223,40.45904282,265.0308069,0.006370682,-0.000540197,-0.728966177,0.684519947,-0.12302701,-0.039141487,0.136122892,-0.168508872,-0.02234148,-0.0331221,0.112067379,-0.114118683,-9.656930419
12.7,2.099999905,105,22.71720886,21.83557129,-79.78282231,40.45904302,265.0577247,0.003144845,-0.001811604,-0.728132963,0.685426354,-0.112610793,-0.038340063,0.144356103,-0.04652337,0.010264393,0.00132559,0.0153534,0.030041642,-9.821107371
12.9,2.200000048,103,22.6721344,22.66255569,-79.78282222,40.45904299,265.0994014,0.0019786,-0.002007502,-0.728253245,0.685302377,-0.095911727,-0.042733678,0.174759004,0.021904651,-0.018792327,0.039571375,-0.020116085,-0.010357817,-9.854051753
13,2.200000048,103,22.59075165,23.98254967,-79.78282213,40.4590431,265.1537802,0.001770116,0.00045901,-0.728542328,0.684998393,-0.107077136,-0.031190039,0.19529094,0.067828879,-0.059009038,0.00388819,0.153672045,-0.027148083,-9.99608296
13.2,2.299999952,101,22.59826279,23.82351494,-79.78282216,40.4590432,265.1755001,0.002154398,0.004024571,-0.728459239,0.685073972,-0.097701389,-0.033900836,0.2322548,0.14478907,-0.031988438,-0.01652072,0.114700325,-0.061330193,-10.15442439
13.3,2.299999952,99,22.67338562,21.39822388,-79.78282215,40.45904342,265.2385399,0.004971088,0.007367793,-0.728631973,0.684847891,-0.098262145,-0.036551825,0.311327857,-0.003874377,-0.070577018,0.039959282,-0.011445518,-0.143998887,-10.29127613
13.5,2.400000095,98,22.76979446,20.52352905,-79.78282218,40.4590435,265.2710108,0.005221267,0.008412261,-0.729045689,0.684393466,-0.084763361,-0.034331417,0.325463451,-0.024033764,-0.059732571,0.038501315,-0.016217938,-0.113937995,-9.992097498
13.6,2.400000095,97,23.52478027,8.492494583,-79.7828223,40.45904367,265.3382251,0.00420386,0.011160907,-0.729219198,0.684176207,-0.072717275,-0.062870195,0.24415905,0.137353733,-0.003443546,-0.08048474,-0.038561967,-0.025774125,-9.320269377
13.8,2.599999905,97,22.56696129,24.04616356,-79.78282236,40.45904373,265.355271,0.004971171,0.012119906,-0.72852838,0.68489033,-0.068290228,-0.063314815,0.101353005,-0.041582234,0.023154663,-0.099486388,-0.028746187,-0.004787052,-8.716585876
13.91,2.799999952,95,22.49309158,25.46158028,-79.7828224,40.45904371,265.4119361,-0.002153992,0.008400695,-0.726975977,0.686608195,-0.049191869,-0.057730306,0.113758447,-0.010029909,0.039938111,-0.035699263,-0.161333524,0.037136822,-9.838947226
